iter	RMSE
0	1.764487867
1	1.764455477
2	1.764421908
3	1.764391522
4	1.764357902
5	1.764323204
6	1.764289227
7	1.764254967
8	1.764221239
9	1.764189529
10	1.76415393
11	1.764121312
12	1.764092534
13	1.76405915
14	1.764025897
15	1.763993042
16	1.763962267
17	1.763926571
18	1.763895983
19	1.763862434
20	1.763833853
21	1.76380313
22	1.763769413
23	1.76373846
24	1.763707011
25	1.763674171
26	1.763644481
27	1.763610951
28	1.763577813
29	1.763545033
30	1.763516036
31	1.763485538
32	1.763454839
33	1.763422408
34	1.76339189
35	1.763362166
36	1.763330206
37	1.763295452
38	1.763261339
39	1.763227746
40	1.76319242
41	1.763159511
42	1.763126351
43	1.763096189
44	1.763065208
45	1.763033881
46	1.763001277
47	1.762968972
48	1.762937231
49	1.762904683
50	1.762872926
51	1.76284341
52	1.762810445
53	1.762779607
54	1.7627482
55	1.762716213
56	1.7626842
57	1.762651088
58	1.762616696
59	1.762580201
60	1.762546786
61	1.762512111
62	1.762477742
63	1.762443688
64	1.762409967
65	1.762378587
66	1.762346532
67	1.762314301
68	1.762281044
69	1.762248714
70	1.762216108
71	1.762186447
72	1.762153012
73	1.762120128
74	1.762087625
75	1.76205333
76	1.762020812
77	1.761988662
78	1.761956695
79	1.761924811
80	1.761893874
81	1.761860085
82	1.761827177
83	1.761796199
84	1.76176326
85	1.761729267
86	1.761695398
87	1.761662366
88	1.761626013
89	1.761596402
90	1.761559003
91	1.761524796
92	1.761493871
93	1.761459523
94	1.761424771
95	1.761394449
96	1.761361973
97	1.7613305
98	1.761301049
99	1.761270843
100	1.761237814
101	1.761205345
102	1.761172025
103	1.761138945
104	1.761108444
105	1.761072774
106	1.761038154
107	1.761004849
108	1.760973186
109	1.76094073
110	1.760906531
111	1.760874883
112	1.760843969
113	1.760813628
114	1.760781597
115	1.760747537
116	1.760714305
117	1.760682885
118	1.760646884
119	1.760612196
120	1.76058041
121	1.760549935
122	1.76051384
123	1.760483496
124	1.760452971
125	1.760417771
126	1.760384843
127	1.760351111
128	1.760321347
129	1.760289613
130	1.760255618
131	1.760222231
132	1.76019292
133	1.760160256
134	1.760126393
135	1.760092024
136	1.760061507
137	1.760029535
138	1.759999135
139	1.759968416
140	1.759934943
141	1.759904794
142	1.759875249
143	1.759844747
144	1.75981085
145	1.759778562
146	1.759748065
147	1.759713896
148	1.759682426
149	1.759651424
150	1.759620902
151	1.759588714
152	1.759554619
153	1.759524295
154	1.759489944
155	1.759461225
156	1.759425503
157	1.759393009
158	1.759360921
159	1.759329196
160	1.759299347
161	1.759268678
162	1.759237946
163	1.759204752
164	1.759170933
165	1.759139645
166	1.759106671
167	1.759078065
168	1.759049584
169	1.759018674
170	1.758989162
171	1.758958859
172	1.758927306
173	1.75889361
174	1.758861236
175	1.758829311
176	1.75879579
177	1.758763257
178	1.758731433
179	1.758699929
180	1.758673217
181	1.758641897
182	1.758610411
183	1.758575925
184	1.758542873
185	1.758510985
186	1.758478929
187	1.758441704
188	1.758411999
189	1.75838057
190	1.758347522
191	1.758317726
192	1.758283831
193	1.758253282
194	1.758221456
195	1.75819284
196	1.758162028
197	1.758130129
198	1.758100635
199	1.758067433
200	1.758038305
201	1.758004304
202	1.757971236
203	1.757937839
204	1.757905742
205	1.757877342
206	1.757844439
207	1.757815539
208	1.75778674
209	1.757751117
210	1.757719476
211	1.757688105
212	1.757656553
213	1.757625144
214	1.757596326
215	1.75756412
216	1.757529197
217	1.757495327
218	1.75746531
219	1.757433375
220	1.757398581
221	1.757368081
222	1.757339484
223	1.757306538
224	1.757274131
225	1.75724483
226	1.757207886
227	1.757174919
228	1.757141537
229	1.75710982
230	1.757079344
231	1.757050218
232	1.757019561
233	1.756988393
234	1.756956409
235	1.756927691
236	1.756894744
237	1.756861938
238	1.756830478
239	1.756794043
240	1.756762116
241	1.756732283
242	1.75669947
243	1.75666681
244	1.756636248
245	1.756605446
246	1.756576336
247	1.756542237
248	1.756507026
249	1.756476764
250	1.756446981
251	1.756414287
252	1.756381831
253	1.756351365
254	1.756318351
255	1.756286198
256	1.756254934
257	1.756222222
258	1.756191274
259	1.75616274
260	1.756131645
261	1.756099704
262	1.756072471
263	1.756040975
264	1.756011796
265	1.755977071
266	1.755948621
267	1.755918377
268	1.755886104
269	1.755854253
270	1.755823678
271	1.755792198
272	1.755760913
273	1.755728186
274	1.755697938
275	1.755663357
276	1.755634099
277	1.75560167
278	1.755570373
279	1.755538618
280	1.755507315
281	1.755477624
282	1.755447339
283	1.755418023
284	1.755386183
285	1.755357157
286	1.755327998
287	1.755296788
288	1.755265872
289	1.755233453
290	1.755198562
291	1.755169761
292	1.755139163
293	1.755107493
294	1.755072295
295	1.755040421
296	1.75501127
297	1.754978041
298	1.754943564
299	1.754913302
300	1.754881921
301	1.754850827
302	1.754822292
303	1.754791406
304	1.754762832
305	1.754729753
306	1.754697501
307	1.754669258
308	1.754637701
309	1.754607708
310	1.75457636
311	1.754547592
312	1.754516859
313	1.754483884
314	1.75445415
315	1.754421573
316	1.754389043
317	1.754355083
318	1.754326006
319	1.754295597
320	1.754263934
321	1.75423233
322	1.754202977
323	1.754170159
324	1.754139289
325	1.7541065
326	1.754076602
327	1.754044664
328	1.754014616
329	1.753981271
330	1.753952075
331	1.753918215
332	1.753890776
333	1.753861992
334	1.753830102
335	1.753796531
336	1.75376732
337	1.753738969
338	1.753706006
339	1.753674457
340	1.753646702
341	1.753617521
342	1.753585662
343	1.753554004
344	1.753519384
345	1.753488141
346	1.753457652
347	1.753425711
348	1.753394044
349	1.753365143
350	1.753332284
351	1.75329969
352	1.753268134
353	1.75323767
354	1.753203209
355	1.753166442
356	1.753134477
357	1.753106231
358	1.753075263
359	1.75304543
360	1.753014604
361	1.752976973
362	1.752943352
363	1.752912483
364	1.752884999
365	1.752852266
366	1.752818981
367	1.752787801
368	1.752755315
369	1.752724407
370	1.752695969
371	1.752663649
372	1.752630862
373	1.752600729
374	1.752573032
375	1.752544954
376	1.752514814
377	1.752485762
378	1.752455799
379	1.75242486
380	1.752391642
381	1.752356961
382	1.752327342
383	1.752298011
384	1.752270112
385	1.752237375
386	1.752205499
387	1.752172563
388	1.752139367
389	1.75211083
390	1.752075517
391	1.752045555
392	1.752015616
393	1.751985077
394	1.75195306
395	1.751923506
396	1.751893117
397	1.751861923
398	1.751833748
399	1.751803411
400	1.751772411
401	1.751743696
402	1.751711844
403	1.751678993
404	1.751650687
405	1.75162296
406	1.751586973
407	1.751554609
408	1.751524093
409	1.751493797
410	1.751464318
411	1.751435521
412	1.751405386
413	1.751374292
414	1.751344576
415	1.751314775
416	1.751283921
417	1.751252093
418	1.75121939
419	1.751192441
420	1.751158347
421	1.751127842
422	1.751098024
423	1.751068588
424	1.751037961
425	1.751007181
426	1.750977261
427	1.750946965
428	1.750915785
429	1.750883218
430	1.7508527
431	1.750820679
432	1.750787839
433	1.75075436
434	1.750722018
435	1.750691759
436	1.750661003
437	1.750631036
438	1.750599421
439	1.75057117
440	1.750544858
441	1.750514274
442	1.750482085
443	1.750449181
444	1.750420424
445	1.75039288
446	1.750361091
447	1.750331151
448	1.750300402
449	1.750268241
450	1.750239735
451	1.750209641
452	1.750178818
453	1.750148534
454	1.750118399
455	1.750089096
456	1.750056638
457	1.750022248
458	1.749990254
459	1.749963145
460	1.749934214
461	1.749900059
462	1.749869925
463	1.749841431
464	1.749811795
465	1.749781308
466	1.749750075
467	1.749720861
468	1.74969005
469	1.749660883
470	1.749627659
471	1.749597613
472	1.749569115
473	1.749538731
474	1.749506145
475	1.749477494
476	1.749445779
477	1.74941771
478	1.749385881
479	1.749356033
480	1.7493284
481	1.749295485
482	1.7492685
483	1.749238544
484	1.749206397
485	1.749173881
486	1.749143513
487	1.749111943
488	1.749078563
489	1.749049459
490	1.749016637
491	1.748984692
492	1.748954285
493	1.748922739
494	1.748892309
495	1.748860856
496	1.748830517
497	1.748798585
498	1.748762323
499	1.748733312
500	1.748704159
501	1.748674078
502	1.748643108
503	1.748610442
504	1.748579594
505	1.74855348
506	1.748521161
507	1.748488997
508	1.748457492
509	1.748426939
510	1.748394528
511	1.748363643
512	1.748334241
513	1.748302905
514	1.748274302
515	1.748242232
516	1.748209623
517	1.748180283
518	1.748149236
519	1.748118129
520	1.748083829
521	1.748053628
522	1.748024081
523	1.7479941
524	1.747962994
525	1.747935051
526	1.747905384
527	1.747871042
528	1.747840664
529	1.747808285
530	1.747777044
531	1.747748396
532	1.747719382
533	1.747689911
534	1.747659725
535	1.747631575
536	1.747599647
537	1.747569732
538	1.747539265
539	1.747506501
540	1.747476843
541	1.747448262
542	1.747417825
543	1.74738785
544	1.747359018
545	1.747331221
546	1.747299748
547	1.747268582
548	1.747236967
549	1.747206247
550	1.747175847
551	1.747143464
552	1.747114761
553	1.747086343
554	1.747055211
555	1.747024511
556	1.746993888
557	1.746965644
558	1.746935674
559	1.746906253
560	1.746880235
561	1.746850312
562	1.746821108
563	1.746790192
564	1.746759539
565	1.746731407
566	1.746701057
567	1.746675595
568	1.746645884
569	1.746618098
570	1.746587275
571	1.746556055
572	1.746524362
573	1.746490262
574	1.746459015
575	1.746427185
576	1.746392822
577	1.746362231
578	1.746333631
579	1.746305516
580	1.746277179
581	1.746245053
582	1.74621622
583	1.746185696
584	1.746156661
585	1.746126392
586	1.746095101
587	1.74606501
588	1.746034836
589	1.746004671
590	1.745970309
591	1.745938167
592	1.745907673
593	1.745878398
594	1.745849341
595	1.745820233
596	1.745793394
597	1.74576219
598	1.745727856
599	1.745695655
600	1.745666082
601	1.745635858
602	1.745605076
603	1.745575237
604	1.745545828
605	1.745514941
606	1.745482808
607	1.745452579
608	1.745423793
609	1.745395024
610	1.74536749
611	1.745335861
612	1.7453079
613	1.745278592
614	1.745249057
615	1.745218867
616	1.745189176
617	1.745158478
618	1.745128052
619	1.745096172
620	1.745065349
621	1.745036525
622	1.745006473
623	1.744970672
624	1.744940787
625	1.74490896
626	1.744876627
627	1.744850085
628	1.744822039
629	1.744793422
630	1.74476712
631	1.74474104
632	1.744709872
633	1.744678582
634	1.74464429
635	1.744614378
636	1.744582958
637	1.744553921
638	1.744523674
639	1.744496588
640	1.744464554
641	1.744434642
642	1.744403876
643	1.744374235
644	1.744343124
645	1.744310826
646	1.744278881
647	1.744251519
648	1.744221272
649	1.744190974
650	1.744160032
651	1.744129867
652	1.744096343
653	1.744067276
654	1.744037859
655	1.74400892
656	1.743979341
657	1.743949279
658	1.743918892
659	1.74388962
660	1.743859582
661	1.743833317
662	1.743803288
663	1.743771623
664	1.743740464
665	1.743709297
666	1.743681148
667	1.743653151
668	1.743619133
669	1.743588711
670	1.743559686
671	1.74353133
672	1.743497445
673	1.743463927
674	1.743434711
675	1.74340657
676	1.743376887
677	1.74334619
678	1.743317461
679	1.743288661
680	1.743257446
681	1.743229485
682	1.743199883
683	1.743173449
684	1.743146088
685	1.743116089
686	1.74308836
687	1.743059552
688	1.743027587
689	1.742999474
690	1.742968728
691	1.742936697
692	1.742907735
693	1.742875629
694	1.742844934
695	1.742815271
696	1.742784843
697	1.742757399
698	1.742727107
699	1.742698427
700	1.742668383
701	1.742640437
702	1.742608674
703	1.742579115
704	1.742552472
705	1.742524521
706	1.742493973
707	1.742462754
708	1.742431195
709	1.742401059
710	1.742371292
711	1.742339013
712	1.742311584
713	1.742284677
714	1.742254035
715	1.742223103
716	1.742194902
717	1.74216931
718	1.742138609
719	1.742111012
720	1.742082658
721	1.74205036
722	1.742022576
723	1.741993188
724	1.741960183
725	1.741931321
726	1.741901898
727	1.741871571
728	1.741844073
729	1.741816872
730	1.741788582
731	1.741754419
732	1.741726167
733	1.741694926
734	1.741662411
735	1.741636596
736	1.741608917
737	1.741580322
738	1.741551186
739	1.741521051
740	1.741492621
741	1.741462361
742	1.741431018
743	1.741404043
744	1.74137582
745	1.741347519
746	1.741314403
747	1.741282197
748	1.741253021
749	1.741225551
750	1.741195304
751	1.741170007
752	1.741142635
753	1.741111807
754	1.741084042
755	1.741056976
756	1.741026641
757	1.740999387
758	1.740968632
759	1.74093879
760	1.740907636
761	1.740875483
762	1.740846412
763	1.740815434
764	1.74078774
765	1.740758951
766	1.740728617
767	1.740701099
768	1.740670937
769	1.740641747
770	1.74061259
771	1.740581693
772	1.740551094
773	1.740521854
774	1.740490632
775	1.740461597
776	1.740429384
777	1.740399896
778	1.740371244
779	1.740340199
780	1.740311655
781	1.740282829
782	1.740254522
783	1.74022578
784	1.740195639
785	1.740165715
786	1.740136571
787	1.74010662
788	1.740077324
789	1.74004739
790	1.740019708
791	1.739991281
792	1.739959632
793	1.739931644
794	1.73990107
795	1.73986939
796	1.739837137
797	1.739807989
798	1.739776907
799	1.739749969
800	1.739718349
801	1.739688772
802	1.73965572
803	1.73962557
804	1.739596704
805	1.739566937
806	1.739537779
807	1.739508759
808	1.739481091
809	1.739452147
810	1.739422517
811	1.739394923
812	1.739365022
813	1.739337785
814	1.739309164
815	1.739281188
816	1.739250966
817	1.739222024
818	1.739189177
819	1.739161332
820	1.739132932
821	1.739099804
822	1.73907152
823	1.739043764
824	1.739014197
825	1.738984731
826	1.738956569
827	1.738926355
828	1.738894545
829	1.738866262
830	1.738837371
831	1.738806981
832	1.73877727
833	1.738747881
834	1.738720122
835	1.738691441
836	1.738666316
837	1.738637851
838	1.738608512
839	1.738578768
840	1.738549152
841	1.738519909
842	1.738491568
843	1.738463837
844	1.738432463
845	1.738405368
846	1.738375061
847	1.738347867
848	1.738320423
849	1.738291842
850	1.738261608
851	1.738234053
852	1.738207285
853	1.738179489
854	1.738150775
855	1.738119296
856	1.738091777
857	1.738063676
858	1.738034685
859	1.738004413
860	1.737975057
861	1.737944776
862	1.737914629
863	1.737884851
864	1.73785215
865	1.737827589
866	1.73779698
867	1.737769
868	1.737739914
869	1.737712426
870	1.737681754
871	1.737652368
872	1.737624422
873	1.73759739
874	1.737567854
875	1.737537884
876	1.73750905
877	1.737476045
878	1.737446222
879	1.737416367
880	1.737388132
881	1.737357266
882	1.737324611
883	1.737294123
884	1.737263834
885	1.737234452
886	1.73720782
887	1.737180692
888	1.737146907
889	1.737116304
890	1.737085498
891	1.737054695
892	1.737027412
893	1.736997147
894	1.736967915
895	1.736939484
896	1.736913317
897	1.736883575
898	1.736855064
899	1.736826454
900	1.736794761
901	1.736766461
902	1.736737901
903	1.736705875
904	1.736672931
905	1.736642227
906	1.736613522
907	1.73658231
908	1.736553578
909	1.736524279
910	1.736495785
911	1.736464992
912	1.736436863
913	1.736403895
914	1.73637676
915	1.736350146
916	1.736320271
917	1.736290519
918	1.736264219
919	1.736235379
920	1.736208143
921	1.736177247
922	1.73614903
923	1.736118336
924	1.736088302
925	1.736059625
926	1.736028279
927	1.736000308
928	1.735973056
929	1.735945046
930	1.735915328
931	1.73588563
932	1.73585795
933	1.735830792
934	1.735798922
935	1.735770469
936	1.735739513
937	1.735706861
938	1.735676742
939	1.735644447
940	1.735612139
941	1.73558103
942	1.735552683
943	1.73552585
944	1.735498254
945	1.735470066
946	1.735440896
947	1.73541121
948	1.735383787
949	1.735356549
950	1.735328728
951	1.735302227
952	1.735274581
953	1.735245423
954	1.735216204
955	1.735188645
956	1.735156503
957	1.735126197
958	1.735096112
959	1.73506899
960	1.73504041
961	1.735010315
962	1.734985912
963	1.734958663
964	1.734931467
965	1.734901273
966	1.734872077
967	1.734843208
968	1.734812443
969	1.734782661
970	1.73475349
971	1.734722432
972	1.734693154
973	1.734664553
974	1.734634702
975	1.734606059
976	1.73457931
977	1.734550681
978	1.734522213
979	1.7344921
980	1.734466488
981	1.734435897
982	1.734408157
983	1.734376467
984	1.734348927
985	1.734322425
986	1.73429281
987	1.734262718
988	1.734233396
989	1.734204105
990	1.734175403
991	1.734148428
992	1.734119132
993	1.734090505
994	1.734063508
995	1.734033995
996	1.734005434
997	1.733978619
998	1.733947126
999	1.733918009
