iter	Passed	Remaining
0	65	65069
1	79	39593
2	90	30179
3	104	25916
4	115	22997
5	129	21380
6	140	19888
7	153	19064
8	165	18251
9	182	18050
10	198	17804
11	211	17437
12	224	17031
13	237	16729
14	248	16313
15	266	16359
16	283	16368
17	298	16282
18	310	16034
19	324	15896
20	337	15743
21	351	15621
22	365	15537
23	378	15389
24	390	15231
25	405	15179
26	417	15039
27	431	14975
28	443	14857
29	459	14843
30	476	14882
31	490	14836
32	504	14791
33	516	14673
34	527	14552
35	540	14466
36	552	14386
37	565	14322
38	578	14257
39	590	14176
40	601	14078
41	615	14040
42	633	14101
43	650	14143
44	670	14232
45	687	14262
46	699	14186
47	711	14104
48	725	14077
49	737	14004
50	751	13974
51	769	14024
52	781	13965
53	795	13939
54	807	13871
55	820	13836
56	832	13777
57	846	13746
58	876	13976
59	888	13915
60	909	14003
61	927	14033
62	941	14001
63	957	14004
64	972	13991
65	988	13990
66	1008	14043
67	1020	13991
68	1037	13994
69	1048	13931
70	1069	13988
71	1085	13991
72	1103	14008
73	1120	14024
74	1134	13995
75	1159	14100
76	1173	14065
77	1185	14009
78	1201	14003
79	1214	13964
80	1232	13980
81	1251	14012
82	1263	13958
83	1276	13919
84	1302	14020
85	1314	13973
86	1329	13949
87	1343	13926
88	1356	13880
89	1369	13845
90	1384	13825
91	1396	13779
92	1413	13787
93	1427	13759
94	1439	13711
95	1455	13703
96	1472	13710
97	1487	13692
98	1506	13709
99	1522	13704
100	1536	13679
101	1548	13635
102	1563	13620
103	1582	13635
104	1598	13628
105	1612	13602
106	1624	13561
107	1636	13519
108	1650	13495
109	1665	13475
110	1679	13449
111	1698	13468
112	1713	13451
113	1727	13422
114	1739	13383
115	1750	13341
116	1764	13315
117	1777	13283
118	1790	13252
119	1806	13248
120	1821	13232
121	1835	13210
122	1847	13171
123	1859	13136
124	1873	13113
125	1889	13106
126	1906	13104
127	1921	13087
128	1933	13057
129	1947	13034
130	1963	13026
131	1975	12990
132	1989	12968
133	2001	12936
134	2014	12906
135	2027	12879
136	2040	12854
137	2053	12825
138	2065	12796
139	2082	12790
140	2095	12767
141	2111	12757
142	2123	12728
143	2137	12707
144	2151	12686
145	2163	12652
146	2175	12623
147	2188	12598
148	2200	12566
149	2211	12530
150	2224	12506
151	2235	12474
152	2248	12447
153	2259	12414
154	2271	12383
155	2283	12355
156	2299	12344
157	2313	12328
158	2330	12326
159	2343	12305
160	2357	12285
161	2369	12255
162	2381	12229
163	2392	12197
164	2404	12167
165	2416	12139
166	2427	12110
167	2439	12079
168	2451	12053
169	2463	12026
170	2475	12001
171	2487	11972
172	2504	11972
173	2516	11945
174	2528	11922
175	2540	11894
176	2552	11869
177	2564	11841
178	2576	11818
179	2587	11789
180	2599	11762
181	2612	11740
182	2625	11721
183	2644	11726
184	2655	11700
185	2667	11672
186	2680	11655
187	2698	11656
188	2716	11655
189	2728	11632
190	2741	11611
191	2752	11585
192	2764	11559
193	2775	11531
194	2788	11512
195	2800	11489
196	2813	11467
197	2828	11455
198	2843	11446
199	2855	11421
200	2866	11395
201	2879	11373
202	2890	11348
203	2902	11326
204	2915	11307
205	2928	11289
206	2942	11271
207	2954	11248
208	2966	11225
209	2977	11200
210	2989	11177
211	3001	11156
212	3013	11134
213	3024	11110
214	3037	11089
215	3048	11064
216	3059	11041
217	3071	11018
218	3083	10996
219	3095	10973
220	3106	10951
221	3120	10936
222	3134	10922
223	3146	10901
224	3158	10880
225	3170	10856
226	3182	10836
227	3193	10813
228	3205	10791
229	3216	10769
230	3229	10749
231	3241	10731
232	3253	10709
233	3264	10687
234	3276	10666
235	3289	10647
236	3300	10624
237	3313	10607
238	3325	10587
239	3343	10586
240	3358	10577
241	3370	10557
242	3386	10550
243	3401	10539
244	3412	10516
245	3424	10497
246	3436	10476
247	3448	10456
248	3460	10435
249	3471	10415
250	3483	10395
251	3495	10374
252	3507	10356
253	3522	10344
254	3534	10325
255	3545	10304
256	3557	10284
257	3568	10264
258	3580	10243
259	3592	10223
260	3604	10204
261	3615	10184
262	3628	10167
263	3639	10145
264	3651	10127
265	3665	10115
266	3677	10094
267	3688	10073
268	3700	10055
269	3713	10039
270	3728	10030
271	3744	10021
272	3757	10005
273	3772	9994
274	3783	9975
275	3795	9955
276	3809	9941
277	3821	9924
278	3834	9908
279	3848	9895
280	3859	9875
281	3871	9856
282	3882	9836
283	3895	9819
284	3907	9803
285	3921	9790
286	3934	9774
287	3946	9757
288	3958	9739
289	3970	9720
290	3982	9702
291	3993	9683
292	4005	9665
293	4017	9646
294	4028	9626
295	4040	9609
296	4051	9590
297	4062	9570
298	4074	9553
299	4088	9539
300	4101	9524
301	4117	9516
302	4130	9501
303	4144	9488
304	4173	9510
305	4190	9503
306	4204	9490
307	4220	9483
308	4233	9467
309	4247	9454
310	4260	9437
311	4284	9447
312	4376	9606
313	4395	9603
314	4427	9628
315	4448	9628
316	4466	9624
317	4499	9649
318	4513	9635
319	4525	9617
320	4544	9613
321	4556	9593
322	4570	9579
323	4590	9576
324	4607	9569
325	4641	9596
326	4657	9585
327	4669	9565
328	4686	9558
329	4707	9558
330	4730	9561
331	4750	9558
332	4761	9538
333	4787	9546
334	4810	9550
335	4829	9544
336	4848	9539
337	4868	9535
338	4894	9543
339	4914	9540
340	4935	9537
341	4947	9518
342	4973	9526
343	4996	9527
344	5011	9515
345	5028	9504
346	5045	9494
347	5073	9505
348	5091	9496
349	5110	9491
350	5122	9472
351	5141	9465
352	5164	9465
353	5184	9461
354	5209	9464
355	5227	9456
356	5253	9461
357	5267	9445
358	5282	9431
359	5299	9421
360	5315	9409
361	5328	9390
362	5342	9374
363	5355	9357
364	5368	9339
365	5382	9324
366	5396	9307
367	5412	9295
368	5426	9278
369	5439	9262
370	5452	9245
371	5467	9229
372	5480	9212
373	5493	9194
374	5506	9176
375	5527	9172
376	5538	9152
377	5552	9137
378	5567	9122
379	5580	9104
380	5592	9085
381	5606	9070
382	5619	9053
383	5632	9036
384	5649	9025
385	5664	9010
386	5677	8993
387	5691	8977
388	5703	8958
389	5715	8939
390	5729	8924
391	5741	8905
392	5753	8887
393	5765	8868
394	5778	8850
395	5790	8831
396	5802	8813
397	5815	8795
398	5828	8779
399	5842	8763
400	5854	8745
401	5898	8775
402	5914	8761
403	5934	8754
404	5946	8736
405	5957	8716
406	5969	8697
407	5981	8678
408	5993	8660
409	6005	8641
410	6023	8632
411	6037	8616
412	6051	8600
413	6064	8584
414	6078	8568
415	6090	8550
416	6102	8531
417	6115	8514
418	6127	8496
419	6138	8476
420	6149	8457
421	6161	8439
422	6174	8422
423	6186	8404
424	6198	8386
425	6210	8368
426	6222	8349
427	6235	8333
428	6252	8322
429	6263	8303
430	6276	8285
431	6288	8267
432	6299	8249
433	6311	8230
434	6323	8212
435	6334	8194
436	6345	8175
437	6357	8157
438	6370	8140
439	6382	8123
440	6398	8110
441	6410	8092
442	6423	8075
443	6439	8063
444	6453	8048
445	6467	8034
446	6479	8016
447	6492	7999
448	6506	7984
449	6518	7967
450	6531	7950
451	6545	7936
452	6557	7917
453	6570	7901
454	6585	7888
455	6605	7880
456	6622	7868
457	6635	7852
458	6655	7844
459	6674	7835
460	6685	7817
461	6699	7801
462	6712	7785
463	6724	7767
464	6739	7753
465	6752	7737
466	6764	7720
467	6779	7706
468	6792	7690
469	6805	7673
470	6817	7657
471	6831	7642
472	6847	7629
473	6861	7613
474	6873	7596
475	6888	7582
476	6903	7569
477	6915	7551
478	6932	7540
479	6948	7527
480	6961	7512
481	6974	7495
482	6987	7479
483	7000	7463
484	7012	7446
485	7027	7432
486	7044	7421
487	7056	7404
488	7069	7387
489	7085	7374
490	7096	7356
491	7111	7343
492	7125	7327
493	7139	7312
494	7150	7295
495	7162	7278
496	7175	7261
497	7186	7244
498	7198	7227
499	7211	7211
500	7225	7196
501	7237	7179
502	7256	7170
503	7269	7153
504	7282	7138
505	7298	7125
506	7310	7108
507	7323	7092
508	7340	7081
509	7352	7064
510	7365	7048
511	7380	7034
512	7392	7017
513	7405	7002
514	7426	6993
515	7441	6980
516	7459	6969
517	7472	6952
518	7489	6941
519	7521	6942
520	7535	6927
521	7550	6914
522	7575	6909
523	7597	6901
524	7619	6893
525	7635	6880
526	7658	6873
527	7686	6871
528	7714	6868
529	7745	6868
530	7765	6858
531	7781	6845
532	7802	6836
533	7823	6827
534	7836	6811
535	7851	6797
536	7870	6785
537	7885	6771
538	7901	6758
539	7916	6743
540	7936	6733
541	7953	6720
542	7972	6710
543	7989	6696
544	8009	6686
545	8023	6671
546	8040	6658
547	8057	6646
548	8078	6636
549	8095	6623
550	8108	6607
551	8124	6593
552	8136	6577
553	8148	6560
554	8163	6545
555	8183	6534
556	8197	6519
557	8219	6510
558	8232	6494
559	8257	6487
560	8269	6471
561	8281	6454
562	8301	6443
563	8312	6426
564	8325	6409
565	8340	6395
566	8352	6378
567	8364	6361
568	8375	6344
569	8387	6327
570	8401	6312
571	8414	6296
572	8427	6280
573	8443	6266
574	8458	6252
575	8470	6235
576	8483	6219
577	8496	6203
578	8508	6186
579	8520	6169
580	8532	6153
581	8545	6137
582	8557	6120
583	8569	6104
584	8582	6088
585	8594	6071
586	8610	6057
587	8627	6045
588	8642	6030
589	8654	6014
590	8669	5999
591	8684	5985
592	8700	5971
593	8714	5956
594	8735	5946
595	8748	5929
596	8763	5915
597	8776	5899
598	8787	5882
599	8801	5867
600	8814	5851
601	8829	5837
602	8847	5824
603	8860	5809
604	8872	5792
605	8886	5777
606	8898	5761
607	8910	5745
608	8925	5730
609	8942	5717
610	8954	5701
611	8968	5685
612	8982	5670
613	8994	5654
614	9005	5637
615	9020	5622
616	9036	5609
617	9053	5596
618	9066	5580
619	9081	5565
620	9113	5562
621	9129	5547
622	9140	5531
623	9157	5517
624	9170	5502
625	9188	5489
626	9205	5476
627	9218	5460
628	9242	5451
629	9266	5442
630	9279	5426
631	9291	5410
632	9305	5394
633	9322	5381
634	9334	5365
635	9349	5350
636	9360	5334
637	9372	5318
638	9384	5301
639	9395	5285
640	9407	5268
641	9421	5253
642	9436	5239
643	9450	5224
644	9462	5208
645	9474	5191
646	9486	5175
647	9498	5159
648	9510	5143
649	9525	5129
650	9537	5112
651	9548	5096
652	9560	5080
653	9572	5064
654	9583	5047
655	9596	5032
656	9607	5015
657	9623	5001
658	9637	4986
659	9650	4971
660	9662	4955
661	9673	4939
662	9684	4922
663	9697	4907
664	9708	4890
665	9720	4874
666	9731	4858
667	9743	4842
668	9755	4826
669	9770	4812
670	9784	4797
671	9796	4781
672	9812	4767
673	9828	4753
674	9840	4737
675	9853	4722
676	9864	4706
677	9877	4690
678	9888	4674
679	9900	4658
680	9911	4642
681	9922	4626
682	9936	4611
683	9954	4598
684	9965	4582
685	9977	4567
686	9989	4551
687	10000	4535
688	10016	4521
